ds,y
2018-10-03,8.8
2018-10-04,10.450000000000001
2018-10-05,14.850000000000001
2018-10-06,7.700000000000001
2018-10-07,55.00000000000001
2018-10-08,28.05
2018-10-09,18.700000000000003
2018-10-10,8.25
2018-10-11,11.0
2018-10-12,15.950000000000001
2018-10-13,7.700000000000001
2018-10-14,53.35
2018-10-15,32.45
2018-10-16,18.150000000000002
2018-10-17,8.25
2018-10-18,10.450000000000001
2018-10-19,13.200000000000001
2018-10-20,7.700000000000001
2018-10-21,55.00000000000001
2018-10-22,27.500000000000004
2018-10-23,17.05
2018-10-24,8.25
2018-10-25,9.9
2018-10-26,13.200000000000001
2018-10-27,7.15
2018-10-28,52.800000000000004
2018-10-29,26.400000000000002
2018-10-30,21.450000000000003
2018-10-31,8.8
2018-11-01,11.760000000000002
2018-11-02,16.240000000000002
2018-11-03,8.96
2018-11-04,56.00000000000001
2018-11-05,42.00000000000001
2018-11-06,22.400000000000002
2018-11-07,9.520000000000001
2018-11-08,11.200000000000001
2018-11-09,18.48
2018-11-10,8.96
2018-11-11,50.96000000000001
2018-11-12,35.84
2018-11-13,20.160000000000004
2018-11-14,9.520000000000001
2018-11-15,11.200000000000001
2018-11-16,18.48
2018-11-17,8.4
2018-11-18,50.96000000000001
2018-11-19,34.160000000000004
2018-11-20,34.160000000000004
2018-11-21,11.200000000000001
2018-11-22,37.52
2018-11-23,29.120000000000005
2018-11-24,10.080000000000002
2018-11-25,49.84
2018-11-26,33.6
2018-11-27,17.92
2018-11-28,9.520000000000001
2018-11-29,10.64
2018-11-30,23.520000000000003
2018-12-01,9.66
2018-12-02,44.849999999999994
2018-12-03,32.43
2018-12-04,17.939999999999998
2018-12-05,8.28
2018-12-06,9.66
2018-12-07,13.11
2018-12-08,7.59
2018-12-09,48.989999999999995
2018-12-10,37.26
2018-12-11,18.63
2018-12-12,8.969999999999999
2018-12-13,10.35
2018-12-14,19.32
2018-12-15,17.939999999999998
2018-12-16,62.78999999999999
2018-12-17,35.879999999999995
2018-12-18,20.009999999999998
2018-12-19,8.969999999999999
2018-12-20,11.04
2018-12-21,12.419999999999998
2018-12-22,20.7
2018-12-23,69.0
2018-12-24,45.54
2018-12-25,22.77
2018-12-26,10.35
2018-12-27,10.35
2018-12-28,11.04
2018-12-29,13.11
2018-12-30,61.41
2018-12-31,61.41
2019-01-01,9.15
2019-01-02,7.32
2019-01-03,6.71
2019-01-04,7.93
2019-01-05,24.4
2019-01-06,57.339999999999996
2019-01-07,19.52
2019-01-08,7.32
2019-01-09,5.49
2019-01-10,6.1
2019-01-11,6.71
2019-01-12,28.06
2019-01-13,61.0
2019-01-14,20.13
2019-01-15,5.49
2019-01-16,4.88
2019-01-17,4.88
2019-01-18,6.1
2019-01-19,12.2
2019-01-20,42.089999999999996
2019-01-21,31.11
2019-01-22,4.88
2019-01-23,3.66
2019-01-24,3.05
2019-01-25,3.05
2019-01-26,3.05
2019-01-27,5.49
2019-01-28,3.05
2019-01-29,2.44
2019-01-30,2.44
2019-01-31,2.44
2019-02-01,2.25
2019-02-02,3.15
2019-02-03,9.299999999999999
2019-02-04,15.0
2019-02-05,2.85
2019-02-06,1.95
2019-02-07,1.7999999999999998
2019-02-08,1.5
2019-02-09,1.3499999999999999
2019-02-10,1.65
2019-02-11,1.5
2019-02-12,1.5
2019-02-13,1.5
2019-02-14,1.5
2019-02-15,1.3499999999999999
2019-02-16,1.3499999999999999
2019-02-17,1.3499999999999999
2019-02-18,1.3499999999999999
2019-02-19,1.3499999999999999
2019-02-20,1.2
2019-02-21,1.3499999999999999
2019-02-22,1.3499999999999999
2019-02-23,1.2
2019-02-24,1.3499999999999999
2019-02-25,1.3499999999999999
2019-02-26,1.3499999999999999
2019-02-27,1.3499999999999999
2019-02-28,1.7999999999999998
2019-03-01,5.46
2019-03-02,5.8500000000000005
2019-03-03,6.24
2019-03-04,5.720000000000001
2019-03-05,4.8100000000000005
2019-03-06,4.55
2019-03-07,4.16
2019-03-08,5.2
2019-03-09,4.68
2019-03-10,5.33
2019-03-11,6.890000000000001
2019-03-12,8.71
2019-03-13,13.0
2019-03-14,7.800000000000001
2019-03-15,6.5
2019-03-16,5.33
2019-03-17,4.68
2019-03-18,4.42
2019-03-19,4.42
2019-03-20,4.55
2019-03-21,4.16
2019-03-22,3.9000000000000004
2019-03-23,3.38
2019-03-24,3.64
2019-03-25,4.29
2019-03-26,4.29
2019-03-27,3.9000000000000004
2019-03-28,3.64
2019-03-29,3.9000000000000004
2019-03-30,3.38
2019-03-31,3.25
2019-04-01,1.26
2019-04-02,1.47
2019-04-03,1.47
2019-04-04,1.26
2019-04-05,1.26
2019-04-06,1.26
2019-04-07,1.26
2019-04-08,1.26
2019-04-09,1.47
2019-04-10,1.26
2019-04-11,1.26
2019-04-12,1.47
2019-04-13,1.26
2019-04-14,1.26
2019-04-15,1.47
2019-04-16,1.68
2019-04-17,2.31
2019-04-18,2.52
2019-04-19,1.89
2019-04-20,1.89
2019-04-21,1.89
2019-04-22,2.31
2019-04-23,2.52
2019-04-24,2.94
2019-04-25,8.19
2019-04-26,21.0
2019-04-27,13.44
2019-04-28,4.62
2019-04-29,2.52
2019-04-30,1.68
2019-05-01,6.0
2019-05-02,5.16
2019-05-03,4.74
2019-05-04,4.14
2019-05-05,3.96
2019-05-06,3.6599999999999997
2019-05-07,3.6599999999999997
2019-05-08,3.6599999999999997
2019-05-09,3.78
2019-05-10,3.9
2019-05-11,3.54
2019-05-12,3.6599999999999997
2019-05-13,3.42
2019-05-14,3.5999999999999996
2019-05-15,3.5999999999999996
